item_name,quantity,unit,notes
Cable électrique 2.5mm,500,mètres,Cable pour électricité domestique
Tuyaux PVC 50mm,200,mètres,Tuyaux pour plomberie
Peinture blanche,100,litres,Peinture intérieure
Ciment 25kg,150,sacs,Ciment de construction
Briques rouges,8000,pcs,Briques pour construction
Acier 8mm,75,tonnes,Barres d'acier pour béton armé
Sable fin,30,m3,Sable pour mortier
Gravier 10/20,25,m3,Gravier pour béton
Vis 6x100,2000,pcs,Vis à bois
Clous 80mm,5000,pcs,Clous pour charpente
Panneaux OSB,50,pcs,Panneaux de contreplaqué
Isolation laine,100,m2,Isolation thermique
Canalisation 100mm,150,mètres,Canalisation d'eau
Armatures béton,40,tonnes,Armatures pour béton armé
Enduit extérieur,80,kg,Enduit de façade 